Nummer;ID;sentimentScore;isMatch;text
312;8.43E+22;-1;1;77 Tage umsonst gearbeitet. Das ist ungerecht! Wir wollen den #EqualPayDay nicht erst am 18. März feiern – sondern
317;8.31E+22;-1;1;Der tägliche Großeinsatz in Chemnitz: Heute Terroralarm #AfD #Hütter https://t.co/ygnS58R0wA
325;8.59E+22;-1;1;207 #Festnahmen bei der #Demonstration zum #1Mai in #Istanbul. Demonstrant bei Unfall mit Wasserwerfer getötet https://t.co/…
379;8.89E+22;-1;1;Meinungsmache auf billige Art. #Schulz nennt falsche Zahl. Stimmungsmache á la #AfD. Hat die @spdde das nötig?
390;8.50E+22;-1;1;#giftgas-Angriff ist Verbrechen. Egal durch wen. Aber: #US-Angriff auf #Syrien ist Irrsinn! IS jubelt! Direkte Konfrontation USA-Russland?
392;8.65E+22;-1;1;Neue Erkenntnisse im Fall #Amri bestätigen: Sicherheitsbehörden haben versagt und dann versucht zu vertuschen https://t.co/hEO0oDyrwO
395;9.11E+22;-1;1;Vollpfosten! Ging das nicht auf die Stirn? Jetzt sehe ich ja nichts mehr! https://t.co/gxqFxqEoT4
398;8.94E+22;-1;1;Atombombe Little Boy zerstörte heute vor 72 Jahren Hiroshima 3 Tage später Fat Man Nagasaki (@einestages-Archiv)
465;8.76E+22;-1;1;Das ganze System ist krank https://t.co/3eCM8up0Hi
943;8.84E+22;-1;1;Unser Autor @dermaierjens hat eine Botschaft an linksautonome Krawallmacher in Hamburg: Verpisst euch! https://t.co/fnOFGx1Oaq
956;9.19E+22;-1;1;Gewaltexzess von vier Stunden Dauer in der JVA Leipzig! #AfD #Hütter https://t.co/rf42mlyu5F
962;8.40E+22;-1;1;Lichtenberg: Nach #Messerstecherei auf dem Gehweg zusammengebrochen. https://t.co/TLUUIqEJL1 @bzberlin @Reporter_Flash
970;9.06E+22;-1;1;Ja Armut per Gesetz von Anfang an. Würdelos! https://t.co/qgi5JyED0M
990;8.99E+22;-1;1;Der islamistische Terror ist schon lange kein Problem mehr eines einzelnen Landes. Deshalb müssen wir in Europa gemeinsam gegen IS kämpfen.
11;8.25E+22;0;1;@20piraten @rwolupo dafür gibt es doch das Instrument der Namentlichen Abstimmung  oder?
12;8.57E+22;0;?;Heute Abend trifft sich @Ralf_Stegner mit Olaf Scholz in Kiel. Sei dabei und rede mit! #WirMachenDas https://t.co/nNJqQkE1zD
17;8.86E+22;0;1;Uff. Geschafft. Einmal Das Berliner Energie- und Klimaschutzprogramm komplett durchgelesen. #BEK @GYGeorg
18;8.77E+22;0;1;Wir suchen: Sachbearbeiterinnen / Sachbearbeiter für die Abteilung BürgerService/Verkehr https://t.co/5v7uPEHI76
24;9.06E+22;0;1;Auf zum Infostand am Floraland #Zwönitz #Erzgebirge. Nachmittags dann wieder #TzT Haustürwahlkampf in Mittelsachsen. #btw17 #fedidwgugl #CDU
26;9.05E+22;0;1;Wer hätte denn DAS gedacht? https://t.co/qtS5zULizd
34;8.46E+22;0;1;@TimZeelen ich vergaß. <f0><U+009F><U+0098><U+008E>
35;8.81E+22;0;0;Heute ist Tag der Liebe <U+2764><U+FE0F> #Ehefueralle
36;8.40E+22;0;1;Rosen verteilen zum internationalen Frauentag mit @EvaHoegl https://t.co/Kqdg4IwtlL
38;8.44E+22;0;1;Offenes Büro zum Thema Kultur im Kieler Landeshaus.
43;8.77E+22;0;1;Wir machen's gerecht! - Eine Halbzeit-Bilanz von Rot-Rot-Grün in Thüringen https://t.co/uLcp9AiBai #linke
45;8.28E+22;0;0;Neues vom #SchwafelSchulz! https://t.co/VY58MbvkvE
46;8.27E+22;0;1;.@wanderwitz Fit für den weltweiten Medienwettbewerb #DeutscheWelle https://t.co/pwKHy9RiHu
49;8.61E+22;0;1;Zum Tage. @GrueneFraktionB #tierschutz https://t.co/ctOvN4nr6D
50;9.18E+22;0;1;LTE bei der BVG - So schnell soll Berlin bald im Untergrund surfen https://t.co/jighJK410G https://t.co/UINHOOSExY
53;8.28E+22;0;0;Energie und Vertrauen pur! Martin Schulz auf dem #Hessengipfel der #SPD Hessen https://t.co/xnYEteKmAV
68;9.11E+22;0;1;Gegen Hass in der Politik hilft nur: Wählen gehen! #DarumGrün #btw17 #TrumpUN https://t.co/3TwZz8V5dj
70;8.51E+22;0;1;#landesparteitag kann beginnen @ Schuppen Eins https://t.co/xWm2JVqalL
73;8.38E+22;0;0;@Sam_Liban Danke  werde ich haben. Wünsche ich Ihnen auch.
91;8.95E+22;0;1;Noch bis 30.09. mitmachen beim Joseph-von-Eichendorff-Liederwettbewerb @DtGesellschaft @koschyk https://t.co/aQmYDQgjNJ
92;8.43E+21;0;1;@bjoern_aigudewi @DB_Bahn Sitzt du gerade im ICE?
101;8.80E+22;0;1;Grünfläche: Der Stadtpark ist der größte Sportplatz Hamburgs https://t.co/3aShNYGeMS https://t.co/PTOKX2CSWi
104;8.84E+22;0;1;Gospel Touch Choir - Let it beMein Musiktipp für Euch da draußen im digitalen Orbit  https://t.co/155tY9IR2O
105;8.70E+22;0;0;Bevor sie es wieder löscht - die erste und einzige Reaktion von @JuliaKloeckner auf die Krebserkrankung von MP #Sellering: htt…
106;8.88E+22;0;1;@BineB @kendzia_ludwig Boden gehört dem Land Nutzungsrechte hatte das Landratsamt sich übertragen lassen. Zur Umse… https://t.co/8ZMQFeBKlh
107;8.94E+22;0;1;Gregor Mayntz :Hier finden Sie den vollständigen Artikel: https://t.co/fn9s66qScNGuter Kommentar heute in der RZ Rot/Grün am Ende
113;8.41E+22;0;1;Schottische Regierungschefin strebt Unabhängigkeitsreferendum an https://t.co/OYXqexwVRJ
114;8.73E+22;0;1;Der Euro soll mehr als eine Währung sein. Das will die Kommission. Deswegen wird er scheitern. Hier meine Rede da… https://t.co/GXXlWvHCMn
115;8.90E+22;0;1;Anonymer Verkäufer versteigert Zeichnung von US-Präsident #Trump aus 2005. Sie zeigt Skyline von NYC. Kostenpunkt: mindeste…
117;8.61E+22;0;1;Sonntagsfrage #btw17 Emnid/BamS • Männer (laut Vorabmeldung der BamS): CDU/CSU 31 %  SPD 25 %  AfD 14 %  LIN 10 %  FDP 6…
118;8.68E+22;0;1;Merkel wohlfeil:Abrüstung muß auf der Tagesordnung stehen.Keine Frage.Wo war ihre Ini für Abrüstung. Ihre NATO beschließt heute Aufrüstung
119;9.08E+22;0;0;Ja  ja. Der Primat - FC Hansel von der #AfD zu Tegel <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
120;8.45E+22;0;0;Mein Freund @schatzbln im #AGH mit großartigen Worten zur lange überfälligen Rehabilitierung &amp  Entschädigung der “175er”. <ed><U+00A0><U+00BC><ed><U+00BC><U+0088> @LinksfraktionB
122;8.85E+22;0;1;Wenn das BKA seit Jahren Deutsche Journalisten beobachtet  fragt man sich ob auch Kommunikation überwacht wird #G20 https://t.co/d3z52UnMZ5
125;8.82E+22;0;1;In Zagreb traf @groehe auch Ministerpräsidenten der Republik Kroatien @AndrejPlenkovic. https://t.co/SskbP1xnVU
126;8.97E+22;0;1;Heute um 22:20 Uhr bei @RTLde: An einem Tisch mit @MartinSchulz - Deutschland fragt nach: https://t.co/ReXPrKpNs8 #btw17
130;9.03E+22;0;1;Jetzt ist @OlafScholz auf der Bühne. Gleich kommt Martin. #spd #hhbue https://t.co/SRSMcIWiDC
131;8.30E+22;0;1;Wolf Wetzel:Der #NSU-#VS-Komplex aus Sicht polizeilicher Ermittlungsmethoden https://t.co/MMGyXBcXGq
136;8.96E+22;0;1;Und wenn es um die Fachkräfte bei #Scansonic geht  setzt das #Unternehmen auch auf unsere Expertise in der #Verbundaus…
144;8.96E+21;0;1;Die heiße Phase beginnt: Unsere 2<U+FE0F><U+20E3>2<U+FE0F><U+20E3> hessischen Kandidaten für die #btw17 <f0><U+009F><U+0097><U+00B3><U+274C>. #SPD #ZeitfuerGerechtigkeit #ZeitfuerMartin…
146;8.88E+22;0;1;Gesprächsforum am 26. Juli in #Themar: Rechte #Hasskonzerte - Einordnung  Analyse und Konsequenzenhttps://t.co/PltQ8x0nqS ht…
148;8.96E+22;0;1;Unser #Regierungsprogramm ist in #Gebärdensprache erschienen: Ansehen! https://t.co/Yf538RnG9E #fedidwgugl https://t.co/oAu4zlNoQk
151;8.50E+21;0;1;dienstgespräch  -) https://t.co/FL7nEc6XNp
155;9.04E+22;0;1;Dorffest Stein#enzkreis #badenwürttemberg #dorffest #stein #königsbachstein #politik #politiker… https://t.co/muLWjHicA1
162;9.05E+22;0;1;Frau Weidel hat richtig gehandelt Was in der Sendung unter Demokratisches Diskutieren verkauft wird ist eine Zumutung..…
163;8.84E+22;0;1;Ich frage lieber gar nicht  um was es genau geht.
164;8.45E+22;0;1;Brandenburg Gate in Berlin  tonight. <U+2764><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7> https://t.co/NmeAYd9aWi
171;9.03E+22;0;1;Frau Beer: Wir empfehlen Ihnen eine Bewerbung bei Donald Trump https://t.co/cxE85XEWgm @DanyWagner_DA @nouripour… https://t.co/v14SDdRKzw
172;8.96E+22;0;1;Auf dem Weg ins Wochenende. 7 58 kilometer mit dem Nike<U+2060>+ Run Club gelaufen. #running #lokstedt #kollau #niendorf https://t.co/etISCX7yii
174;8.18E+21;0;1;Es geht voran. Die neue Website ist online. https://t.co/TY2UkLKexk . Noch nicht ganz fertig. Aber fast. https://t.co/dY2tJeLHSz
176;8.20E+22;0;0;Linkspartei-Freibrief für Holm in @rbbabendschau. Und freches Ultimatum an @spdberlin . Spätestens jetzt muss… https://t.co/EXsyauxMLz
184;8.33E+22;0;1;@kingknorr @wolfgangbaasch und du bis dabei? <f0><U+009F><U+0098><U+0087>
193;8.69E+22;0;1;SPD  FDP und Grüne in RLP drängen noch einmal auf kommunale Mittelrheinbrücke - Blockade durch Landrat Bröhr (CDU) beklagt
195;8.99E+22;0;1;Heute unterwegs in NRW: Straßenwahlkampf in Remscheid und 10-Jahre-Sommerfest der LINKEN in Aachen. https://t.co/mmI9zz822v
208;9.10E+21;0;1;Hat sich ein Politiker schon mal von @SPIEGELTV begleiten lassen? <f0><U+009F><U+0098><U+0081> Finde ich gut. @c_lindner <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0094><U+009D>#btw17 #FDP
212;8.59E+22;0;1;FDP präsentiert ihr Wahlprogramm für die Bundestagswahl https://t.co/YlmMmFTIRE https://t.co/iPiEFK7TL6
221;8.33E+22;0;1;Auf nach Bad Sassendorf! Dort stellt @CDUNRW_de heute die Liste für #btw17 auf. Top Personalangebot für starke #NRW Stimmen in #Berlin! #CDU
232;8.64E+22;0;1;22 5 Mio. Euro jährlich für neues Förderprogramm: Investitionspakt für soziale Integration im Quartier steht bereit https://t.co/e0obOWrLhy
233;9.10E+22;0;1;#UnionBusting bei I-SEC. Aufruf zur Solidarität vor Gericht am 22.09.2017!#Arbeitsunrecht #Naujoks https://t.co/tw8BR1xNbR
237;8.65E+22;0;1;Lebendige Debatte zum Lutherjahr im Landtag mit @FranziskaOL von @Saxgruen https://t.co/EcQzeuwDgZ Ganze Rede? https://t.co/z74zZOy4W3
241;8.88E+22;0;1;Beim Sommerfest des DGB Baden- Württemberg ist die SPD aus Bund und Land selbstverständlich anwesenden <f0><U+009F><U+0098><U+0080> https://t.co/MyzVGXwlx3
251;8.41E+22;0;1;Wahlkreistour - Landstraße - Enzkreis. #enzkreis#pforzheim#badenwürttemberg… https://t.co/mhlPFG0kGl
259;8.45E+22;0;1;Jetzt auf dem Weg zur Personalversammlung bei der#Staatsanwaltschaft. Wichtige Themen: #Personalverstärkung #SicherheitbeiGericht
277;8.31E+21;0;1;129464 Unterschriften gegen die Kreisreform #vibb
281;8.58E+22;0;1;Das ist bezeichnend. Es spricht für sich. https://t.co/R9jP8ERkCX
282;8.80E+22;0;1;Morgen so:@c_lindner:legalize it.@MartinSchulz:gebt das Hanf frei.@AngelaMerkeICDU:Kiffen Gewissensentscheidung.… https://t.co/wGtKCQgXEk
284;8.47E+22;0;1;Bei #Liverpool fallen einem (fast) nur die  #Beatles ein! In diesem Sinne: ein getting better ins #brexit-Land! https://t.co/3YgwhLJQlD
300;8.62E+21;0;1;.@jensspahn  nur echt mit Raute -) https://t.co/AsdA3Z24nS
304;9.10E+22;0;1;Ich habe mich entschieden. #btwahl2017 https://t.co/Fp311ZPoz1
308;8.25E+22;0;1;@gruenestuttgart.Anna Christmann unsere Bundestagskandidatin  Wahlkreis 2. https://t.co/0y83TDsuDx
311;8.80E+22;0;0;Warum #txl-Volksbegehren überflüssig ist und @thf100 grandiose Entscheidung war. Toller Kommentar @berlinerzeitung https://…
313;8.80E+22;0;1;@Ralf_Stegner Geniesse gerade all die Antworten.
316;8.33E+22;0;1;Dieses Wochenende Münchner Sicherheitskonferenz - jetzt findet die Eröffnung statt. #MSC2017
318;8.59E+22;0;1;Mit Ansage: https://t.co/2uHQo25Y8z
319;9.12E+22;0;1;Die SPD geht in die Opposition- Thema heute beim RTL Lokal Tv in Mannheim. https://t.co/r0pA3a4UX5
320;8.87E+22;0;1;Zur Zeit tanke ich Kraft bei @schrothkur  bleibe aber für Sie erreichbar: https://t.co/A4AMI3llm4 &amp  https://t.co/X5GXVkjQ4m &amp  natürlich hier
327;8.28E+22;0;1;27./28.4.: #fornet17 mit @hwieduwilt @maxschrems Louisa Specht  Walter Blocher und Schirmherrin @DoroBaer https://t.co/9e9MUg…
341;8.57E+22;0;1;Heute ist der Tag gegen #Lärm. Ich fordere ein #Nachtflugverbot von 22 bis 6 Uhr. https://t.co/q0fDpdlZJl
343;9.10E+22;0;1;Wundertasse  ideal für mich und @tsghessen https://t.co/ydZf5mNhLf
345;9.04E+22;0;0; TV-Duell belastet Koalition.' oder  Kann große Koalition fortgesetzt werden?' Schlagzeilen  die es nach diesem #TVDduell NICHT geben wird.
349;8.58E+22;0;1;Großes Interesse an landwirtschaftlichen Produkten #Landwirtschaft https://t.co/UtMLfeccgQ
355;9.04E+22;0;1;Mein Porträt über Angela #Merkel: Weiter so - Die Kanzlerin will es noch einmal wissen https://t.co/QGo3KFxaL6
358;9.07E+22;0;1;Arbeitskreis Kagenmarkt <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0098><U+008A> Vorbereitung der Präventionsveranstaltung am 19.9.2017 um 16.00 Uhr in der Tarnow-Schule
367;8.64E+22;0;1;NRW-Signal eindeutig: schwarz-gelb: + 10 7 P <U+2194><U+FE0F> linkes Lager (rrg): - 10 5 P https://t.co/0DUY2Z2T0p
371;8.42E+22;0;1;@Nico Ist normales Verfahren. Weißt Du auch. Etat wird nach Wahl eh geändert. Bund und Länder müssen sich zudem noch einigen.
373;8.42E+22;0;1;Es schließen auch keine Praxen in Gegenden ohne Privatpatienten. https://t.co/DYOXFHEuuN https://t.co/iEQDNsfdCA
375;8.74E+22;0;1;Ich habe ein wenig das Gefühl  einige Journalisten waren am Wochenende auf einem anderen Parteitag als ich. #linkebpt
376;8.76E+22;0;0;Schöne Nachthupferl #STAMP Parade #altonale17 #altona https://t.co/Rf4O1arApf
381;9.09E+22;0;1;Am 24.09.2017 Zweitstimme Grün.Ich sag Euch warum <f0><U+009F><U+0098><U+0089>https://t.co/JuHUdLzEH2
390;8.20E+22;0;1;Kleine Pause für einen Winterspaziergang <f0><U+009F><U+0098><U+0080><f0><U+009F><U+008C><U+00A4><U+2744><U+FE0F> https://t.co/hxF3XYE4v5
393;8.98E+22;0;1;Kontrollierte Freigabe: Linken-Politiker für Erlaubnis von Pyrotechnik in Stadien | MDR.DE https://t.co/PZahIi3qUB
395;8.81E+22;0;1;Noch einen Text zum Kaffe? Dann diesen hier von Alexander Osang.  https://t.co/RUpWcelQbT
402;8.79E+22;0;1;Inzwischen ziehen auch SPD und Grüne Haltelinien für Regierungsbeteiligungen @dieLinke war da mal wieder Trendsetterin. #spdbpt
407;8.63E+22;0;0;Sehr schöner Artikel. Unbedingt lesen! <f0><U+009F><U+0098><U+008A><f0><U+009F><U+0091><U+008D>Hannelore Kraft - Vom Wahlkampf belebt https://t.co/T5vfvi54qo #nrwir @nrwspd
419;9.16E+22;0;1;#Tillich war also in Thronfolge von König Kurt nie vorgesehen. Er sollte seine Thronfolgerliste veröffentlichenhttps://t.co/mTVm4EQjyV
424;8.31E+22;0;1;Warten mit @HKraenzlein auf das Ergebnis der #Bundespräsidentenwahl #meinpraesident #Steinmeier https://t.co/Sj4uCx8uee
425;8.36E+22;0;1;#BTW #AfDNRW Liste Platz  8 Udo Hemmelgarn und Platz 9 Uwe Kamann. #AfD #LWV Essen #LPT. 9 Plätze war ein erfolgreiches Wochenende <f0><U+009F><U+0098><U+0080><f0><U+009F><U+0091><U+008D>
428;8.61E+22;0;1;@jensspahn im @ZDF: Rot-Grün wird reihenweise abgewählt. #ltwsh17 https://t.co/QwOpyl4z7k
430;8.44E+22;0;1;Umfrage @BILDamSONNTAG für #Merkel 46% - #Schulz 38% - Frauen würden zu 53% Merkel wählen - Schulz 28% (Emnid) Keine #ZeitfürMa…
433;9.04E+22;0;0;Dieses #tvduell war schlechter keins. Verlierer des Abends: Moderation mit ihrer Themenauswahl. Gruselig zukunftsvergessen! #DarumGrün
438;9.20E+22;0;1;Sagt jemand  der seit Jahren die Privilegien von Milliardären verteidigt #Erbschaftsteuer #CSU https://t.co/yspSAaWVlC
440;9.20E+22;0;1;@BrigittePothmer @c_eubel Sie bewegt sich aber gerade nicht auf uns  sondern auf die CSU zu.
445;8.87E+22;0;0;Klares Signal zur Stärkung d #beruflichen #Ausbildung in d ÜAB #Buchen @IHK_RheinNeckar https://t.co/GXgmLhrdv1
449;8.64E+22;0;1;Keine Verlegung der #Bundeswehr von #Erdogan s Türkei in die nächste Despotie #Jordanien. Abzug jetzt! #Incirlik  https://t.co/Hcbx3mUSyy
453;9.05E+22;0;1;Grüne fordern eine Milliarde Euro für dieselgeplagte Städte.https://t.co/PL6giZCGb9 #DarumGruen
454;8.47E+22;0;1;.@rponline Kolumne zeigt wie #Journalisten in den USA bei Pressekonferenzen mit @POTUS arbeiten https://t.co/KWubsMIHOl #pressefreiheit
455;9.10E+22;0;1;Ach nee  das Interview war letztes Jahr - da konnte man ja schon taktisch zigmal die Meinung ändern <ed><U+00A0><U+00BE><ed><U+00B4><U+0094> https://t.co/Fpvg8hpafm
472;8.40E+22;0;1;EILMELDUNG: Tusk als EU-Ratspräsident wiedergewählt https://t.co/aMxJrOBZ2Q
474;8.43E+22;0;1;Wo Adenauer recht hat  hat er recht.#zeitfuermartin https://t.co/QOeSmVQQgZ
477;9.07E+22;0;1;Mit diesen Forderungen fasst @MartinSchulz zusammen  was uns Sozialdemokraten wichtig ist! #zeitfuermartin https://t.co/hfRVfdmPOi
480;9.04E+22;0;1;Abgehoben https://t.co/KAcK3Aze7I
484;8.82E+22;0;1;Was bleibt von der Bundeswehr nach Ursula von der Leyen? https://t.co/J7kTgyrChJ
488;8.21E+22;0;1;Wir haben die #NPD marginalisiert. Wir bieten Patrioten eine echte Heimat (Jens Maier  #AfD-Kandidat #btw17 in Dresd…
489;8.93E+22;0;1;Gesprächsabend zu geplanten Änderungen im Kommunalverfassungsgesetz im Landgasthof Zur Alten Post in Ummendorf. #Sommertour
490;8.42E+22;0;1;@Michael_Huebner @parlementarisme Gibt ja  mehr Gründe. Wissen Sie auch. Sie verteidigen auch Ihre Ministerpräsidentin trotz ihrer Bilanz.
503;8.79E+22;0;0;Muss man echt nicht haben.. #bleeching https://t.co/K7JRCrNG1s
504;9.04E+22;0;1;Video | Seit 3 Jahren ist er Straßenmusiker in #Berlin  träumt aber immer noch davon  Orchester-Mitglied zu werden <ed><U+00A0><U+00BC><ed><U+00BE><U+00BC>https://t.c…
511;8.70E+21;0;1;@schneidercar @ChHickmann Journalisten haben nen Tisch draußen
514;8.42E+22;0;1;@PiratenBonn Euer Faktencheck war eher ein Vorurteil. Hier die Auswirkung auf Gesamtstellenzahl #Faktencheck https://t.co/FIzEMQmIwZ
520;8.69E+22;0;1;Berlin  Seehof. https://t.co/ZkKA5pmHuu
